Player,Squad,Comp,PrimaryPos,SecondaryPos,Group,Style,Gls,Ast,Min,MP,Gls_p90,npxG_p90,Sh_p90,SoT%,G/Sh,xAG_p90,SCA90,PrgC_p90,Succ%,Att Pen_p90,CrsPA_p90,PrgR_p90,PrgP_p90,Cmp%,KP_p90,Tkl_p90,Int_p90,Tkl+Int_p90,TotDist_p90,1/3_p90,Clr_p90,Blocks_p90,Att 3rd_p90,Tkl%,Won%,GA,Saves,CS,Save%,PSxG+/-,Stp%,#OPA/90,AvgDist,Launch%,AvgLen,CS%
Samuel Chukwueze,Milan,it Serie A,FW,MF,attack,All-Around Forward,3.0,2.0,925,26,0.2918918918918918,0.2627027027027027,3.1135135135135137,25.0,0.09,0.2918918918918918,4.77,4.67027027027027,55.3,5.254054054054054,0.4864864864864865,11.286486486486488,,,,,,,,,,,,,,,,,,,,,,,,
Jack Clarke,Ipswich Town,eng Premier League,FW,MF,attack,Squad Forward,0.0,4.0,1181,32,0.0,0.0914479254868755,1.2955122777307366,11.8,0.0,0.1752751905165114,3.81,2.972057578323455,50.0,2.8958509737510583,0.0,4.343776460626588,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Colombo,Empoli,it Serie A,FW,MF,attack,Squad Forward,6.0,2.0,2233,37,0.2418271383788625,0.2055530676220331,2.2167487684729066,32.7,0.09,0.1168831168831168,2.21,1.0882221227048814,48.0,3.345275414240932,0.0806090461262875,4.675324675324676,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Colpani,Fiorentina,it Serie A,FW,MF,attack,Squad Forward,2.0,1.0,1432,24,0.1256983240223463,0.1696927374301676,2.199720670391061,34.3,0.06,0.0817039106145251,2.7,2.325418994413408,44.4,3.079608938547486,0.0628491620111731,8.10754189944134,,,,,,,,,,,,,,,,,,,,,,,,
Kingsley Coman,Bayern Munich,de Bundesliga,FW,,attack,Elite Dual-Threat Forward,5.0,4.0,1282,28,0.3510140405616225,0.3018720748829953,3.088923556942278,38.6,0.11,0.2316692667706708,5.68,4.633385335413417,52.7,5.967238689547582,0.3510140405616225,15.093603744149766,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Conceição,Juventus,it Serie A,FW,MF,attack,All-Around Forward,3.0,3.0,1340,26,0.2014925373134328,0.1544776119402985,2.686567164179104,32.5,0.08,0.2888059701492537,4.3,6.380597014925373,44.3,6.179104477611941,0.6716417910447761,9.6044776119403,,,,,,,,,,,,,,,,,,,,,,,,
Tanguy Coulibaly,Montpellier,fr Ligue 1,FW,MF,attack,Squad Forward,3.0,0.0,1485,25,0.1818181818181818,0.2121212121212121,1.8181818181818183,43.3,0.1,0.0787878787878788,2.9,2.909090909090909,53.7,3.939393939393939,0.1212121212121212,5.878787878787879,,,,,,,,,,,,,,,,,,,,,,,,
Juan Cruz,Leganés,es La Liga,FW,MF,attack,Squad Forward,5.0,4.0,2257,34,0.1993797075764288,0.1076650420912716,1.3159060700044307,42.4,0.15,0.1634913602126716,2.03,2.3526805494018608,51.3,1.634913602126717,0.5582631812140009,5.223748338502436,,,,,,,,,,,,,,,,,,,,,,,,
Cucho,Betis,es La Liga,FW,,attack,All-Around Forward,5.0,1.0,1139,15,0.3950834064969271,0.3002633889376646,3.3977172958735733,25.6,0.12,0.1185250219490781,3.64,2.1334503950834067,65.4,4.820017559262511,0.0790166812993854,6.479367866549605,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Cutrone,Como,it Serie A,FW,,attack,Target Forward,7.0,4.0,2047,33,0.3077674645823156,0.276990718124084,3.033707865168539,37.7,0.1,0.0923302393746946,2.15,2.330239374694675,37.5,5.232046897899365,0.087933561309233,6.814851001465559,,,,,,,,,,,,,,,,,,,,,,,,
Thijs Dallinga,Bologna,it Serie A,FW,,attack,Target Forward,3.0,2.0,1154,31,0.2339688041594454,0.3353552859618717,2.417677642980936,35.5,0.1,0.046793760831889,2.11,0.7019064124783362,18.2,5.069324090121317,0.0,6.551126516464471,,,,,,,,,,,,,,,,,,,,,,,,
Arnaut Danjuma,Girona,es La Liga,FW,MF,attack,All-Around Forward,2.0,0.0,1335,25,0.1348314606741573,0.2426966292134831,2.02247191011236,46.7,0.07,0.1146067415730337,2.7,6.134831460674157,35.8,5.46067415730337,0.5393258426966292,12.47191011235955,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan David,Lille,fr Ligue 1,FW,,attack,Target Forward,16.0,5.0,2554,32,0.5638214565387627,0.3770555990602975,2.325763508222396,42.4,0.15,0.1550509005481597,2.61,1.409553641346907,47.6,5.109631949882537,0.0,6.483946750195771,,,,,,,,,,,,,,,,,,,,,,,,
Keinan Davis,Udinese,it Serie A,FW,,attack,Squad Forward,2.0,1.0,1066,23,0.1688555347091932,0.2448405253283302,2.448405253283302,37.9,0.07,0.1772983114446529,2.95,2.1951219512195124,48.6,5.656660412757973,0.0,6.50093808630394,,,,,,,,,,,,,,,,,,,,,,,,
Zuriko Davitashvili,Saint-Étienne,fr Ligue 1,FW,MF,attack,Squad Forward,9.0,8.0,2778,33,0.2915766738660907,0.2138228941684665,2.203023758099352,35.3,0.1,0.152267818574514,3.85,3.077753779697624,37.4,3.9848812095032393,0.1295896328293736,7.257019438444924,,,,,,,,,,,,,,,,,,,,,,,,
Romain Del Castillo,Brest,fr Ligue 1,FW,,attack,All-Around Forward,6.0,4.0,1259,26,0.4289118347895155,0.1072279586973788,1.215250198570294,47.1,0.18,0.2430500397140587,4.79,2.073073868149325,43.2,2.930897537728356,0.7863383637807784,7.577442414614774,,,,,,,,,,,,,,,,,,,,,,,,
Liam Delap,Ipswich Town,eng Premier League,FW,,attack,Target Forward,12.0,2.0,2593,37,0.4165059776320864,0.2707288854608561,2.290782876976475,43.9,0.15,0.065946779791747,2.15,2.1172387196297726,46.5,3.193212495179329,0.0,3.8179714616274585,,,,,,,,,,,,,,,,,,,,,,,,
Ousmane Dembélé,Paris S-G,fr Ligue 1,FW,,attack,Elite Dual-Threat Forward,21.0,6.0,1730,29,1.092485549132948,0.8219653179190752,4.994219653179191,51.0,0.21,0.4265895953757225,5.72,6.606936416184972,44.2,8.3757225433526,0.1560693641618497,13.109826589595375,,,,,,,,,,,,,,,,,,,,,,,,
Ermedin Demirović,Stuttgart,de Bundesliga,FW,,attack,Poacher,15.0,1.0,1855,34,0.7277628032345014,0.6016172506738544,3.1051212938005395,42.2,0.23,0.0921832884097035,2.28,0.9703504043126684,20.0,6.113207547169811,0.0,5.579514824797844,,,,,,,,,,,,,,,,,,,,,,,,
